district_name,year,visits,district_num,forest_name
Ashton/Island Park Ranger District,2008,39,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2009,48,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2010,107,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2011,149,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2012,114,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2013,184,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2014,144,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2015,190,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2016,252,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2017,322,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2018,368,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2019,385,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2020,439,41552,Caribou-Targhee National Forest
Ashton/Island Park Ranger District,2021,625,41552,Caribou-Targhee National Forest
Austin-Tonopah Ranger District,2008,116,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2009,31,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2010,16,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2011,41,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2012,84,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2013,150,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2014,49,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2015,30,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2016,47,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2017,38,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2018,264,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2019,66,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2020,122,41703,Humboldt-Toiyabe National Forest
Austin-Tonopah Ranger District,2021,69,41703,Humboldt-Toiyabe National Forest
Beaver Ranger District,2008,7,40803,Fishlake National Forest
Beaver Ranger District,2009,4,40803,Fishlake National Forest
Beaver Ranger District,2010,7,40803,Fishlake National Forest
Beaver Ranger District,2011,2,40803,Fishlake National Forest
Beaver Ranger District,2012,2,40803,Fishlake National Forest
Beaver Ranger District,2013,11,40803,Fishlake National Forest
Beaver Ranger District,2014,23,40803,Fishlake National Forest
Beaver Ranger District,2015,31,40803,Fishlake National Forest
Beaver Ranger District,2016,99,40803,Fishlake National Forest
Beaver Ranger District,2017,107,40803,Fishlake National Forest
Beaver Ranger District,2018,70,40803,Fishlake National Forest
Beaver Ranger District,2019,130,40803,Fishlake National Forest
Beaver Ranger District,2020,187,40803,Fishlake National Forest
Beaver Ranger District,2021,166,40803,Fishlake National Forest
Big Piney Ranger District,2008,0,40302,Bridger-Teton National Forest
Big Piney Ranger District,2009,16,40302,Bridger-Teton National Forest
Big Piney Ranger District,2010,3,40302,Bridger-Teton National Forest
Big Piney Ranger District,2011,2,40302,Bridger-Teton National Forest
Big Piney Ranger District,2012,8,40302,Bridger-Teton National Forest
Big Piney Ranger District,2013,12,40302,Bridger-Teton National Forest
Big Piney Ranger District,2014,8,40302,Bridger-Teton National Forest
Big Piney Ranger District,2015,8,40302,Bridger-Teton National Forest
Big Piney Ranger District,2016,14,40302,Bridger-Teton National Forest
Big Piney Ranger District,2017,53,40302,Bridger-Teton National Forest
Big Piney Ranger District,2018,140,40302,Bridger-Teton National Forest
Big Piney Ranger District,2019,227,40302,Bridger-Teton National Forest
Big Piney Ranger District,2020,304,40302,Bridger-Teton National Forest
Big Piney Ranger District,2021,257,40302,Bridger-Teton National Forest
Blackrock Ranger District,2008,7,40306,Bridger-Teton National Forest
Blackrock Ranger District,2009,6,40306,Bridger-Teton National Forest
Blackrock Ranger District,2010,9,40306,Bridger-Teton National Forest
Blackrock Ranger District,2011,14,40306,Bridger-Teton National Forest
Blackrock Ranger District,2012,18,40306,Bridger-Teton National Forest
Blackrock Ranger District,2013,45,40306,Bridger-Teton National Forest
Blackrock Ranger District,2014,45,40306,Bridger-Teton National Forest
Blackrock Ranger District,2015,59,40306,Bridger-Teton National Forest
Blackrock Ranger District,2016,93,40306,Bridger-Teton National Forest
Blackrock Ranger District,2017,61,40306,Bridger-Teton National Forest
Blackrock Ranger District,2018,35,40306,Bridger-Teton National Forest
Blackrock Ranger District,2019,108,40306,Bridger-Teton National Forest
Blackrock Ranger District,2020,314,40306,Bridger-Teton National Forest
Blackrock Ranger District,2021,266,40306,Bridger-Teton National Forest
Bridgeport Ranger District,2008,294,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2009,266,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2010,313,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2011,268,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2012,319,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2013,396,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2014,213,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2015,310,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2016,258,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2017,406,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2018,479,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2019,413,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2020,457,41702,Humboldt-Toiyabe National Forest
Bridgeport Ranger District,2021,359,41702,Humboldt-Toiyabe National Forest
Carson Ranger District,2008,489,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2009,457,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2010,721,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2011,990,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2012,1134,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2013,1424,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2014,1992,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2015,2543,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2016,3180,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2017,3894,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2018,4709,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2019,4573,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2020,5345,41701,Humboldt-Toiyabe National Forest
Carson Ranger District,2021,4614,41701,Humboldt-Toiyabe National Forest
Cascade Ranger District,2008,1,40204,Boise National Forest
Cascade Ranger District,2009,11,40204,Boise National Forest
Cascade Ranger District,2010,6,40204,Boise National Forest
Cascade Ranger District,2011,15,40204,Boise National Forest
Cascade Ranger District,2012,16,40204,Boise National Forest
Cascade Ranger District,2013,23,40204,Boise National Forest
Cascade Ranger District,2014,101,40204,Boise National Forest
Cascade Ranger District,2015,69,40204,Boise National Forest
Cascade Ranger District,2016,37,40204,Boise National Forest
Cascade Ranger District,2017,87,40204,Boise National Forest
Cascade Ranger District,2018,57,40204,Boise National Forest
Cascade Ranger District,2019,46,40204,Boise National Forest
Cascade Ranger District,2020,183,40204,Boise National Forest
Cascade Ranger District,2021,176,40204,Boise National Forest
Cedar City Ranger District,2008,26,40702,Dixie National Forest
Cedar City Ranger District,2009,21,40702,Dixie National Forest
Cedar City Ranger District,2010,27,40702,Dixie National Forest
Cedar City Ranger District,2011,30,40702,Dixie National Forest
Cedar City Ranger District,2012,42,40702,Dixie National Forest
Cedar City Ranger District,2013,36,40702,Dixie National Forest
Cedar City Ranger District,2014,105,40702,Dixie National Forest
Cedar City Ranger District,2015,145,40702,Dixie National Forest
Cedar City Ranger District,2016,126,40702,Dixie National Forest
Cedar City Ranger District,2017,173,40702,Dixie National Forest
Cedar City Ranger District,2018,238,40702,Dixie National Forest
Cedar City Ranger District,2019,306,40702,Dixie National Forest
Cedar City Ranger District,2020,359,40702,Dixie National Forest
Cedar City Ranger District,2021,351,40702,Dixie National Forest
Challis-Yankee Fork Ranger District,2008,0,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2009,1,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2010,0,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2011,3,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2012,3,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2013,11,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2014,28,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2015,5,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2016,7,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2017,98,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2018,41,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2019,33,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2020,21,41302,Salmon-Challis National Forest
Challis-Yankee Fork Ranger District,2021,17,41302,Salmon-Challis National Forest
Council Ranger District,2008,0,41201,Payette National Forest
Council Ranger District,2009,0,41201,Payette National Forest
Council Ranger District,2010,1,41201,Payette National Forest
Council Ranger District,2011,0,41201,Payette National Forest
Council Ranger District,2012,5,41201,Payette National Forest
Council Ranger District,2013,12,41201,Payette National Forest
Council Ranger District,2014,20,41201,Payette National Forest
Council Ranger District,2015,25,41201,Payette National Forest
Council Ranger District,2016,25,41201,Payette National Forest
Council Ranger District,2017,32,41201,Payette National Forest
Council Ranger District,2018,20,41201,Payette National Forest
Council Ranger District,2019,58,41201,Payette National Forest
Council Ranger District,2020,113,41201,Payette National Forest
Council Ranger District,2021,37,41201,Payette National Forest
Dubois Ranger District,2008,0,41551,Caribou-Targhee National Forest
Dubois Ranger District,2009,0,41551,Caribou-Targhee National Forest
Dubois Ranger District,2010,0,41551,Caribou-Targhee National Forest
Dubois Ranger District,2011,35,41551,Caribou-Targhee National Forest
Dubois Ranger District,2012,0,41551,Caribou-Targhee National Forest
